Drug,Primary indication,Virus,Group,Cell cultures/co-cultures,Primary cells/organoids,Animal model,Phase I,Phase II,Phase III,Phase IV,Approved,Potential target,Reference,Reference2,Virus Family,Virus Name,Viral disease,VirusImage,Drug_Bank_ID,PubChem_CID,Mode_of_action,InChI_Key
Azacitidine,Approved anticancer,ADV,dsDNA,*,,,,,,,,Viral DNA pol,PMID:11562975,,Adenoviridae,Adenovirus,Acute respiratory disease,73,DB00928,9444,Nucleoside analog DNA methyl transferase inhibitor,NMUSYJAQQFHJEW-KVTDHHQDSA-N
Brincidofovir,Investigational antiviral,ADV,dsDNA,,,,,*,*,,,Viral DNA pol,NCT02087306; NCT01143181,,Adenoviridae,Adenovirus,Acute respiratory disease,73,DB12151,483477,Viral DNA polymerase inhibitor,CRDDLOITBKEPRN-UQIIZPHYSA-M
Cidofovir,Approved antiviral,ADV,dsDNA,*,,,,,,,,Viral DNA pol,PMID:30287226,,Adenoviridae,Adenovirus,Acute respiratory disease,73,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Filociclovir,Investigational antiviral,ADV,dsDNA,*,,,,,,,,Viral DNA pol,PMID:30287226,,Adenoviridae,Adenovirus,Acute respiratory disease,73,DB12438,3006048,Dual DNA polymerase/kinase inhibitor; Nucleoside analog,KMUNHOKTIVSFRA-KXFIGUGUSA-N
Flavopiridol,Approved anticancer,ADV,dsDNA,*,,,,,,,,Human CDKs,PMID:28434229,,Adenoviridae,Adenovirus,Acute respiratory disease,73,DB03496,5287969,CDK inhibitor,BIIVYFLTOXDAOV-YVEFUNNKSA-N
Ganciclovir,Approved antiviral,ADV,dsDNA,*,,,,*,*,*,,Viral DNA pol,PMID:30677427; NCT01533480,,Adenoviridae,Adenovirus,Acute respiratory disease,73,DB01004,3454,Viral RNA polymerase inhibitor,IRSCQMHQWWYFCW-UHFFFAOYSA-N
Letermovir,Approved antiviral,ADV,dsDNA,*,,,,,,,,Viral terminase,PMID:30677427,,Adenoviridae,Adenovirus,Acute respiratory disease,73,DB12070,45138674,Inhibitor  the DNA terminase complex of cytomegalovirus activity,FWYSMLBETOMXAG-QHCPKHFHSA-N
Nitazoxanide,Approved antiprotozoal,ADV,dsDNA,,,,,*,*,,,Multiple,NCT00302640,,Adenoviridae,Adenovirus,Acute respiratory disease,73,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Favipiravir,Approved antiviral,ANDV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:23856782,,Hantaviridae,Andes virus,Hantavirus cardiopulmonary syndrome ,21,DB12466,492405,Viral RNA polymerase inhibitor,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
Brincidofovir,Investigational antiviral,B19V,ssDNA,*,,,,,,,,Viral DNA pol,PMID:30529090,,Parvoviridae,Parvovirus B19,Erythema infectiosum,33,DB12151,483477,Viral DNA polymerase inhibitor,CRDDLOITBKEPRN-UQIIZPHYSA-M
Cidofovir,Approved antiviral,B19V,ssDNA,*,,,,,,,,Viral DNA pol,PMID:25446336,,Parvoviridae,Parvovirus B19,Erythema infectiosum,33,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Artesunate,Approved antimalarial,BKV,dsDNA,*,,,,,,,,Unknown,PMID:30677427,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB09274,6917864,Unclear,FIHJKUPKCHIPAT-AHIGJZGOSA-N
Bithionol,Approved antibacterial; withdrawn,BKV,dsDNA,*,,,,,,,,Unknown,PMID:22898086,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB04813,2406,Uncoupler of oxidative phosphorylation,JFIOVJDNOJYLKP-UHFFFAOYSA-N
Brincidofovir,Investigational antiviral,BKV,dsDNA,,,,*,*,*,,,Viral DNA pol,NCT01769170,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB12151,483477,Viral DNA polymerase inhibitor,CRDDLOITBKEPRN-UQIIZPHYSA-M
Cidofovir,Approved antiviral,BKV,dsDNA,,,,*,*,,,,Viral DNA pol,NCT00138424,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Dasatinib,Approved anticancer,BKV,dsDNA,*,,,,,,,,Human RTKs,PMID:21088155,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB01254,3062316,Abl; Src; Kit; EphR... Inhibitor,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
Erlotinib,Approved anticancer,BKV,dsDNA,*,,,,,,,,Human RTKs,PMID:21088155,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB00530,176870,EGFR inhibitor,AAKJLRGGTJKAMG-UHFFFAOYSA-N
Gefitinib,Approved antivcancer,BKV,dsDNA,*,,,,,,,,Human RTKs,PMID:21088155,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB00317,123631,EGFR inhibitor,XGALLCVXEZPNRQ-UHFFFAOYSA-N
Hexachlorophene,Approved antibacterial; withdrawn,BKV,dsDNA,*,,,,,,,,Human SDHD,PMID:22898086,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB00756,3598,,ACGUYXCXAPNIKK-UHFFFAOYSA-N
Imatinib,Approved anticancer,BKV,dsDNA,*,,,,,,,,Human RTKs,PMID:21088155,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB00619,5291,Abl; Kit; PDGFRB inhibitor,KTUFNOKKBVMGRW-UHFFFAOYSA-N
Leflunomide,Approved immunosuppressant,BKV,dsDNA,*,,,,,,,,Human DHODH,PMID:22461534,,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB01097,3899,Pyrimidine synthesis inhibitor,VHOGYURTWQBHIL-UHFFFAOYSA-N
Mycophenolic acid,Approved immunosuppressant,BKV,dsDNA,,,,,,,*,,Human IMPDH,NCT01624948,PMID: 19302313,Polyomaviridae,BK virus,Nephropathy and hemorrhagic cystitis,-1,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
